,property_name,society,property_type,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others,super_built_up_area,built_up_area,carpet_area
1133,3 BHK Flat in Sector 106 Gurgaon,mrg skyline,flats,1.82,13392.0,1359.0,3,2,2,4.0,east,Undefined,1,0,0,0,0,0,0,,1359,952
1134,3 BHK Flat in Sector 104 Gurgaon,ats triumph,flats,1.85,8078.0,2290.0,3,4,3,14.0,east,relative new,14,117,1,1,1,1,0,2290,,
1135,3 BHK Flat in Sector 54 Gurgaon,dlf park place,flats,4.86,25920.0,1875.0,3,4,3,7.0,west,relative new,54,49,0,1,0,0,0,1875,,
1136,3 BHK Flat in Sector 70 Gurgaon,shree vardhman victoria,flats,1.62,13953.0,1161.0,3,3,3,9.0,north,relative new,0,96,0,1,0,0,0,1950,,1161
1137,2 Bedroom House for sale in Bhondsi,"nirmal enclave, maruti kunj road",houses,0.24,5333.0,450.0,2,2,0,2.0,North,relative new,0,0,0,0,0,0,0,,,
1138,2 Bedroom House for sale in Sector 70A Gurgaon,bptp pedestal,houses,0.92,7750.0,1187.0,2,3,3,3.0,North-East,new property,15,153,0,0,0,0,1,,,1187
1139,4 BHK Flat in DLF Phase 2,dlf belvedere towers,flats,3.7,17619.0,2100.0,4,4,3,18.0,north-west,old property,75,26,0,1,0,0,0,,,2100
1140,3 BHK Flat in Sector 109 Gurgaon,sbtl caladium,flats,1.26,6542.0,1926.0,3,2,3,8.0,north-east,relative new,0,103,0,0,0,0,0,1880,,
1141,7 Bedroom House for sale in Sector 7 Gurgaon,independent,houses,3.0,11494.0,2610.0,7,7,0,3.0,Na,Undefined,4,0,0,0,0,0,0,,2610,
1142,2 BHK Flat in Sector 103 Gurgaon,ansal housing highland park,flats,0.88,6429.0,1369.0,2,2,3,3.0,na,new property,0,52,0,0,0,0,0,1361,,
1143,13 Bedroom House for sale in DLF Phase 4,independent,houses,11.0,33951.0,3240.0,13,13,3,3.0,East,relative new,381,122,1,1,0,1,0,,,
1144,2 BHK Flat in Sector 61 Gurgaon,smart world orchard,flats,1.6,13913.0,1150.0,2,2,2,3.0,na,Under Construction,0,37,1,0,0,0,0,,,1150
1145,3 BHK Flat in Sector 103 Gurgaon,satya the hermitage,flats,0.99,6655.0,1488.0,3,4,3,2.0,north-east,relative new,27,174,0,1,0,1,0,1991,,1495
1146,3 BHK Flat in Sector 66 Gurgaon,emaar the palm drive,flats,3.9,18636.0,2093.0,3,4,3,2.0,na,relative new,1,0,0,0,0,0,0,,2200,
1147,2 BHK Flat in Sector 47 Gurgaon,unitech uniworld gardens,flats,1.05,10531.0,997.0,2,2,2,3.0,north-east,relative new,20,34,0,0,0,0,0,,,997
1148,4 BHK Flat in Sector 110 A Gurgaon,mahindra aura,flats,2.25,9266.0,2428.0,4,4,3,2.0,south-west,relative new,0,152,0,1,0,0,0,2428,2350,2050
1149,3 BHK Flat in Sector 88A Gurgaon,breez global heights 88a,flats,0.5,8375.0,597.0,3,2,2,2.0,na,Under Construction,0,15,0,0,0,0,0,,,597
1150,"4 Bedroom House for sale in URBAN ESTATE, SECTOR 5",independent,houses,3.75,20425.0,1836.0,4,4,3,3.0,Na,old property,65,28,0,0,0,0,0,,,
1151,3 BHK Flat in Sector 85 Gurgaon,ss the leaf,flats,1.98,8256.0,2398.0,3,4,3,12.0,west,relative new,6,174,0,0,1,0,0,2408,2399,2398
1152,2 BHK Flat in Sector 89 Gurgaon,smart world gems,flats,1.0,9007.0,1110.0,2,2,3,3.0,na,new property,0,99,1,0,0,0,1,,,1110
1153,2 Bedroom House for sale in Ashok Vihar Phase 3 Extension,independent,houses,0.55,5000.0,1100.0,2,1,0,1.0,Na,Undefined,0,0,0,0,0,0,0,,1100,
1154,3 BHK Flat in Sector 92 Gurgaon,bestech park view sanskruti,flats,1.6,7547.0,2120.0,3,3,3,10.0,east,relative new,67,60,0,1,0,0,0,2120,,1450
1155,2 BHK Flat in Sector 23A Gurgaon,ashiana apartment,flats,0.16,2051.0,780.0,2,2,2,1.0,na,relative new,0,0,0,0,0,0,0,780,,
1156,4 BHK Flat in Sector 85 Gurgaon,ss the leaf,flats,2.05,7290.0,2812.0,4,4,3,4.0,north-east,relative new,68,49,0,1,0,0,0,2812,2500,2250
1157,3 BHK Flat in Sector 48 Gurgaon,vipul world,flats,1.38,9482.0,1455.0,3,3,1,2.0,na,relative new,0,60,0,0,0,0,0,,,1450
1158,3 Bedroom House for sale in Sushant Lok Phase 2,independent,houses,4.6,21296.0,2160.0,3,3,3,2.0,North,old property,70,37,0,1,1,1,0,,,
1159,3 BHK Flat in Sector 37D Gurgaon,signature global city,flats,1.25,6082.0,2055.0,3,3,3,4.0,na,Under Construction,25,16,0,0,0,0,0,,,2055
1160,2 BHK Flat in Sector 103 Gurgaon,indiabulls centrum park,flats,1.2,8432.0,1423.0,2,2,3,3.0,north-east,relative new,0,26,0,0,0,0,0,1423,,
1161,3 BHK Flat in Sector 83 Gurgaon,vatika lifestyle homes,flats,1.04,5699.0,1825.0,3,2,2,2.0,south-west,relative new,0,95,0,0,0,0,0,1755,1500,1100
1162,2 BHK Flat in Sector 95 Gurgaon,rof ananda,flats,0.36,5658.0,636.0,2,2,2,10.0,east,new property,0,75,1,0,0,0,0,,,645
1163,3 BHK Flat in Sector 86 Gurgaon,dlf the skycourt,flats,1.5,7894.0,1900.0,3,3,1,16.0,east,relative new,0,49,0,0,0,0,1,1900,,
1164,3 BHK Flat in Sector-33 Sohna,central park flower valley,flats,1.4,21538.0,650.0,3,3,3,2.0,na,Under Construction,0,54,0,0,0,0,0,650,,
1165,2 BHK Flat in Sector 104 Gurgaon,godrej summit,flats,0.85,6896.0,1233.0,2,2,3,12.0,na,relative new,0,61,1,0,0,0,1,,,1450
1166,5 Bedroom House for sale in Sushant Lok Phase 1,ansal sushant lok plots,houses,7.0,25926.0,2700.0,5,5,3,3.0,North-East,relative new,170,41,1,1,0,1,0,,,
1167,2 BHK Flat in Sector 61 Gurgaon,smart world orchard,flats,1.65,13750.0,1200.0,2,2,2,1.0,na,Under Construction,0,16,1,0,0,0,0,,,1200
1168,2 Bedroom House for sale in Laxman Vihar,naman residency,houses,0.5,11111.0,450.0,2,2,2,2.0,West,new property,0,14,1,1,0,1,1,,,
1169,3 BHK Flat in Sector 109 Gurgaon,ats tourmaline,flats,2.25,8704.0,2585.0,3,4,3,14.0,north-east,relative new,0,101,0,1,0,0,0,2585,,
1170,2 BHK Flat in Sector 82 Gurgaon,vatika iris floors,flats,0.63,5590.0,1127.0,2,2,3,2.0,east,relative new,0,110,1,0,0,0,0,1134,,
1171,4 BHK Flat in Sector 62 Gurgaon,pioneer araya,flats,9.95,20995.0,4739.0,4,6,3,12.0,south-east,relative new,56,138,0,1,0,1,0,4739,,3219
1172,2 BHK Flat in Sector 89 Gurgaon,smart world gems,flats,1.0,9033.0,1107.0,2,2,2,1.0,na,Under Construction,0,38,1,0,0,0,0,,,1107
1173,2 BHK Flat in Sohna,gls arawali homes,flats,0.35,7000.0,500.0,2,2,2,5.0,na,relative new,0,30,0,0,0,0,0,567,556,500
1174,3 BHK Flat in Sector 70 Gurgaon,shree vardhman victoria,flats,1.65,8461.0,1950.0,3,5,3,6.0,north-east,relative new,40,167,0,1,0,1,0,1950,,1161
1175,3 BHK Flat in Sector 85 Gurgaon,orris aster court,flats,0.9,5671.0,1587.0,3,3,3,8.0,north-east,relative new,0,49,0,0,0,0,0,1587,,
1176,3 BHK Flat in Sector 90 Gurgaon,dlf regal gardens,flats,1.24,7065.0,1755.0,3,3,3,9.0,south,relative new,0,72,0,0,0,0,1,1755,1600,1400
1177,3 BHK Flat in Sector 109 Gurgaon,raheja atharva,flats,0.79,7931.0,996.0,3,2,2,3.0,na,relative new,55,44,0,0,0,0,0,1457,,996
1178,4 Bedroom House for sale in DLF Phase 2,independent,houses,4.45,32963.0,1350.0,4,3,3,2.0,West,relative new,21,79,0,0,1,0,0,,,
1179,4 BHK Flat in Mehrauli Gurgaon Road,unitech heritage city,flats,4.26,13108.0,3250.0,4,4,0,9.0,na,Undefined,4,0,0,0,0,0,0,,3250,
1180,2 Bedroom House for sale in Sector 89 Gurgaon,greenopolis,houses,0.7,5397.0,1297.0,2,2,2,14.0,North-East,Undefined,1,0,0,0,0,0,0,,1297,
1181,3 BHK Flat in Sector 102 Gurgaon,adani m2k oyster grande,flats,1.9,9105.0,2087.0,3,4,3,8.0,north-east,relative new,50,165,0,1,0,0,0,1889,,
1182,2 BHK Flat in Sector 107 Gurgaon,m3m woodshire,flats,0.9,6588.0,1366.0,2,2,3,4.0,na,relative new,0,21,0,0,0,0,0,1366,,
1183,2 BHK Flat in Sector 113 Gurgaon,la vida by tata housing,flats,1.75,10489.0,1668.0,2,2,3,10.0,east,relative new,0,93,1,0,0,0,0,1573,,
1184,5 Bedroom House for sale in Palam Vihar,ansals palam vihar,houses,5.7,14729.0,3870.0,5,5,2,2.0,North-East,old property,110,94,0,0,0,1,0,,4550,4450
1185,2 BHK Flat in Sector 89 A Gurgaon,adani aangan arcade,flats,0.5,7763.0,644.0,2,2,1,4.0,na,relative new,34,69,0,0,0,0,0,,672,644
1186,2 BHK Flat in Sector 15 Part 1,anamika enclave,flats,0.64,6500.0,985.0,2,2,1,1.0,na,new property,6,0,0,0,0,0,0,1000,,
