society,property_type,sector,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others
paras irene,flats,sector 70a,1.3,9219.0,1410.0,2.0,2.0,3.0,19.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
sare green parc phase 3,flats,sector 92,0.7,5279.0,1326.0,3.0,2.0,2.0,4.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
signature global city 92,flats,sector 92,0.99,6622.0,1495.0,3.0,2.0,3.0,1.0,east,new property,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
tata primanti,flats,sector 72,3.5,11428.0,3063.0,4.0,5.0,3.0,10.0,west,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
puri diplomatic greens,flats,sector 111,5.25,11666.0,4500.0,4.0,6.0,3.0,7.0,east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
shree vardhman flora,flats,sector 90,0.7,5177.0,1352.0,2.0,2.0,3.0,9.0,east,new property,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
emaar mgf emerald floors premier,flats,sector 65,2.25,13636.0,1650.0,3.0,3.0,3.0,3.0,south,relative new,unfurnished,high,1.0,1.0,0.0,0.0,0.0
kamal residence,flats,sohna road,0.4,7633.0,524.0,2.0,2.0,1.0,0.0,north-east,new property,fullyfurnished,low,0.0,0.0,0.0,0.0,1.0
pioneer araya,flats,sector 62,8.35,19513.0,4279.0,4.0,6.0,3.0,16.0,east,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
bhim nagar society,houses,sector 6,0.4,2500.0,1600.0,4.0,2.0,2.0,1.0,East,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
suncity avenue 76,flats,sector 76,0.75,10204.0,735.0,2.0,2.0,2.0,11.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
dlf new town heights,flats,sector 90,1.25,8638.0,1447.0,3.0,4.0,3.0,0.0,north-west,old property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
ss residency,flats,sector 12,0.53,4818.0,1100.0,3.0,3.0,2.0,2.0,na,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
dlf regal gardens,flats,sector 90,1.25,10416.0,1200.0,3.0,3.0,3.0,18.0,north,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
m3m merlin,flats,sector 67,3.4,14418.0,2358.0,3.0,4.0,3.0,15.0,south,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
umang monsoon breeze,flats,sector 78,0.75,6053.0,1239.0,2.0,2.0,1.0,5.0,east,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
adani m2k oyster grande,flats,sector 102,1.95,7561.0,2579.0,3.0,4.0,3.0,9.0,south,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
shree vardhman flora,flats,sector 90,0.75,5769.0,1300.0,2.0,2.0,3.0,8.0,north-east,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 8,0.62,11273.0,550.0,3.0,1.0,0.0,2.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
unitech uniworld gardens,flats,sector 47,2.4,11505.0,2086.0,3.0,3.0,3.0,10.0,na,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
emaar mgf the palm drive,flats,sector 66,3.0,15384.0,1950.0,3.0,3.0,2.0,12.0,east,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
bestech spa signature,flats,sector 81,4.45,10595.0,4200.0,4.0,4.0,3.0,8.0,south-west,relative new,semifurnished,mid,1.0,1.0,0.0,1.0,1.0
m3m skywalk,flats,sector 74,2.2,10901.0,2018.0,3.0,3.0,3.0,12.0,na,new property,semifurnished,low,1.0,0.0,0.0,0.0,0.0
emaar mgf emerald floors premier,flats,sector 65,2.8,16969.0,1650.0,3.0,3.0,2.0,3.0,east,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
sare homes,flats,sector 92,0.6,5000.0,1200.0,3.0,2.0,3.0,4.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
huda ashok vihar phase,houses,sector 4,0.7,10233.0,684.0,3.0,2.0,1.0,2.0,North-East,new property,unfurnished,low,1.0,0.0,0.0,0.0,0.0
indiabulls centrum park,flats,sector 103,1.33,8580.0,1550.0,3.0,3.0,3.0,8.0,east,relative new,semifurnished,high,1.0,0.0,0.0,0.0,0.0
ansal sushant lok plots,houses,sector 43,11.5,17692.0,6500.0,7.0,8.0,3.0,3.0,Na,old property,semifurnished,mid,0.0,1.0,1.0,1.0,0.0
vipul tatvam villa,houses,sector 48,7.25,27971.0,2592.0,3.0,4.0,2.0,2.0,South,relative new,fullyfurnished,high,1.0,1.0,1.0,1.0,0.0
tulip violet,flats,sector 69,1.85,9203.0,2010.0,4.0,4.0,2.0,14.0,north-east,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.55,9822.0,1578.0,3.0,3.0,2.0,9.0,north-east,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
independent,houses,sector 7,2.0,11111.0,1800.0,2.0,2.0,1.0,2.0,Na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 24,2.6,24074.0,1080.0,4.0,4.0,3.0,4.0,Na,relative new,fullyfurnished,low,1.0,0.0,1.0,1.0,0.0
la vida by tata housing,flats,sector 113,3.05,11338.0,2690.0,3.0,4.0,3.0,15.0,north-east,new property,unfurnished,high,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 57,4.7,21759.0,2160.0,3.0,3.0,2.0,2.0,North,old property,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
ss the leaf,flats,sector 85,2.1,7467.0,2812.0,4.0,5.0,3.0,9.0,east,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
ramsons kshitij,flats,sector 95,0.33,3911.0,844.0,2.0,2.0,1.0,14.0,south,new property,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
dlf regal gardens,flats,sector 90,1.17,6708.0,1744.0,3.0,3.0,3.0,15.0,north,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
experion windchants,houses,sector 112,7.46,10260.0,7271.0,4.0,4.0,3.0,2.0,East,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
supertech araville,flats,sector 79,0.71,6061.0,1171.0,2.0,2.0,3.0,17.0,north,new property,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
m3m merlin,flats,sector 67,2.78,13580.0,2047.0,3.0,3.0,3.0,4.0,south-west,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
dlf the primus,flats,sector 82a,2.2,10516.0,2092.0,3.0,3.0,3.0,16.0,north-east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
