property_type,sector,price,area,bedRoom,bathroom,balcony,floor,agePossession,furnish,features,study room,servant room,store room,pooja room,others
flats,sector 37d,1.8,2191.0,4.0,3.0,3.0,High Floor,relative new,semifurnished,mid,1.0,1.0,0.0,1.0,0.0
flats,sector 37d,1.08,1800.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 90,1.13,1700.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 70a,1.3,1410.0,2.0,2.0,3.0,High Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 92,0.7,1326.0,3.0,2.0,2.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 92,0.99,1495.0,3.0,2.0,3.0,Low Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 72,3.5,3063.0,4.0,5.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
flats,sector 111,5.25,4500.0,4.0,6.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 90,0.7,1352.0,2.0,2.0,3.0,Mid Floor,new property,unfurnished,mid,1.0,0.0,0.0,0.0,0.0
flats,sector 65,2.25,1650.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,high,1.0,1.0,0.0,0.0,0.0
flats,sohna road,0.4,524.0,2.0,2.0,1.0,Low Floor,new property,fullyfurnished,low,0.0,0.0,0.0,0.0,1.0
flats,sector 62,8.35,4279.0,4.0,6.0,3.0,High Floor,relative new,semifurnished,high,0.0,1.0,0.0,1.0,0.0
houses,sector 6,0.4,1600.0,4.0,2.0,2.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 76,0.75,735.0,2.0,2.0,2.0,High Floor,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 90,1.25,1447.0,3.0,4.0,3.0,Low Floor,old property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 12,0.53,1100.0,3.0,3.0,2.0,Low Floor,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 90,1.25,1200.0,3.0,3.0,3.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
